,ABEDUS,ABLABESMYIA,ACAMPTOCLADIUS,ACELLA,ACENTRELLA,ACRICOTOPUS,ACRONEURIA,ACTINOBDELLA,AESHNA,AESHNIDAE,AGABINAE,AGABUS,AGARODES,AGRAYLEA,AGRYPNIA,ALBIA,ALBOGLOSSIPHONIA,ALLONAIS,ALOTANYPUS,AMBRYSUS,AMERICOROPHIUM,AMNICOLA,AMPHINEMURA,AMPHIPODA,AMPITHOE,ANAFROPTILUM,ANAX,ANCYRONYX,ANODONTA,AORIDAE,APEDILUM,APHYLLA,APOCOROPHIUM,ARACHNIDA,ARCTEONAIS,ARGIA,ARGULUS,ARIGOMPHUS,ARMIGER,ARRENURUS,ASELLIDAE,ATRACTIDES,ATRICHOPOGON,ATYLOTUS/TABANUS,AULODRILUS,AXARUS,BAETIDAE,BANKSIOLA,BASIAESCHNA,BELOSTOMA,BELOSTOMATIDAE,BEOTHUKUS,BEROSUS,BEZZIA/PALPOMYIA,BILYJOMYIA,BIOMPHALARIA,BITHYNIA,BIVALVIA,BOREOCHLUS,BOYERIA,BRACHYCERCINAE,BRANCHIOBDELLIDAE,BRANCHIODRILUS,BRANCHIURA,BRATISLAVIA,BRILLIA,BRYCHIUS,CAECIDOTEA,CAENIDAE,CAENIS,CALLIBAETIS,CALOPTERYGIDAE,CALOPTERYX,CAMBARIDAE,CAMBARUS,CAMPELOMA,CAPITELLA,CAPNIIDAE,CASSIDINIDEA,CELINA,CELITHEMIS,CENTROLIMNESIA,CENTROPTILUM,CERACLEA,CERATOPOGONIDAE,CERATOPOGONINAE,CERNOTINA,CHAETOCLADIUS,CHAETOGASTER,CHAETOZONE,CHAOBORUS,CHAULIODES,CHAULIODINAE,CHELIFERA/METACHELA,CHEUMATOPSYCHE,CHIRONOMINI,CHIRONOMUS,CHLOROPERLIDAE,CHLOROTABANUS,CHOROTERPES,CHROMAGRION,CHRYSOMELIDAE,CHRYSOPS,CINCINNATIA,CIPANGOPALUDINA,CIRRATULIDAE,CLADOPELMA,CLADOTANYTARSUS,CLEPTELMIS,CLINOCERA,CLINOTANYPUS,CLOEON,COELOTANYPUS,COENAGRION/ENALLAGMA,COENAGRIONIDAE,COLEOPTERA,COLYMBETES,COLYMBETINAE,CONSTEMPELLINA,COPTOTOMUS,CORBICULA,CORDULIA,CORDULIIDAE,CORIXIDAE,COROPHIIDAE,CORYDALIDAE,CORYNONEURA,CORYPHAESCHNA,CRAMBIDAE,CRANGONYCTIDAE,CRANGONYX,CRICOTOPUS,CRICOTOPUS/ORTHOCLADIUS,CRYPTOCHIRONOMUS,CRYPTOTENDIPES,CUMACEA,CYATHURA,CYRNELLUS,CYZICUS,DASYHELEA,DECAPODA,DEMEIJEREA,DEMICRYPTOCHIRONOMUS,DENTATELLA,DERALLUS,DERO,DEROTANYPUS,DESDIMELITA,DESMOPACHRIA,DIACHLORUS,DIAMESA,DICRANOTA,DICROTENDIPES,DIDYMOPS,DINEUTUS,DIPLOCLADIUS,DIPTERA,DIXA,DIXELLA,DJALMABATISTA,DOLICHOPODIDAE,DOROCORDULIA,DREISSENA,DROMOGOMPHUS,DUBIRAPHIA,DYTISCIDAE,DYTISCUS,ECDYONURUS,ECTOPRIA,EINFELDIA,ELIMIA,ELLIPTIO,ELMIDAE,EMPIDIDAE,ENALLAGMA,ENCHYTRAEIDAE,ENDOCHIRONOMUS,ENOCHRUS,EOPARARGYRACTIS,EPHEMERA,EPHEMERELLA,EPHEMERELLIDAE,EPHEMERIDAE,EPHEMEROPTERA,EPHYDRIDAE,EPITHECA,EPOICOCLADIUS,ERIOPTERA,ERPOBDELLA,ERPOBDELLIDAE,ERYTHEMIS,EUKIEFFERIELLA,EUPERA,EURYLOPHELLA,EYLAIS,FABRIA,FERRISSIA,FICOPOMATUS,FITTKAUIMYIA,FORCIPOMYIA,FORELIA,FRONTIPODA,GALBA,GAMMARIDAE,GAMMARUS,GASTROPODA,GEAYIA,GLOSSIPHONIA,GLOSSIPHONIIDAE,GLYPHOPSYCHE,GLYPTOTENDIPES,GNORIMOSPHAEROMA,GOELDICHIRONOMUS,GOMPHIDAE,GOMPHUS,GRANDIDIERELLA,GUMAGA,GUTTIPELOPIA,GYRAULUS,GYRINIDAE,GYRINUS,HAEMONAIS,HAEMOPIS,HAGENIUS,HALACARIDAE,HALESOCHILA,HALIPLIDAE,HALIPLUS,HARNISCHIA,HEBETANCYLUS,HEDRIODISCUS/ODONTOMYIA,HELICHUS,HELICOPSYCHE,HELISOMA,HELIUS,HELOBDELLA,HELOCHARES,HELOPHORUS,HEMERODROMIA,HEPTAGENIIDAE,HESPEROCORIXA,HESPEROPHYLAX,HETERLIMNIUS,HETEROTANYTARSUS,HETEROTRISSOCLADIUS,HEXAGENIA,HIRUDINIDA,HYALELLA,HYDATICUS,HYDRA,HYDRACHNA,HYDRELLIA,HYDROBAENUS,HYDROCANTHUS,HYDROCHOREUTES,HYDROCOLUS,HYDRODROMA,HYDRODROMIDAE,HYDROPHILIDAE,HYDROPORINAE,HYDROPSYCHIDAE,HYDROPTILA,HYDROPTILIDAE,HYDROSMITTIA,HYDROVATUS,HYDRYPHANTES,HYDRYPHANTIDAE,HYGROBATES,HYGROTUS,HYPORHYGMA,ILYODRILUS,ISCHNURA,ISOCHAETIDES,ISOPODA,JUGA,KIEFFERULUS,KOENIKEA,KRENDOWSKIA,KRENDOWSKIIDAE,KRIBIODORUM,LABIOBAETIS,LABRUNDINIA,LACCOBIUS,LACCOPHILUS,LADONA,LAEVAPEX,LARSIA,LAUTERBORNIELLA,LEBERTIA,LEPIDOPTERA,LEPIDOSTOMA,LEPTOCERIDAE,LEPTOCERUS,LEPTOCHELIA,LEPTOPHLEBIA,LEPTOPHLEBIIDAE,LESTES,LESTIDAE,LETHOCERUS,LEUCORRHINIA,LEUCROCUTA,LEUCTRA,LIBELLULA,LIBELLULIDAE,LIBELLULIDAE/CORDULIIDAE,LIMNEPHILIDAE,LIMNEPHILUS,LIMNESIA,LIMNOCHARES,LIMNODRILUS,LIMNOPHYES,LIMONIA,LIODESSUS,LIPINIELLA,LIRCEUS,LITTORIDINOPS,LUMBRICINA,LUMBRICULIDAE,LUMBRICULUS,LYMNAEA,LYMNAEIDAE,LYOGYRUS,LYPE,MACCAFFERTIUM,MACROBDELLA,MACROMIA,MACROMIIDAE,MACRONYCHUS,MACROPELOPIA,MACROPELOPIINI,MANAYUNKIA,MARGARITIFERA,MARILIA,MARSTONIA,MELANOIDES,MENETUS,MICRASEMA,MICROCHIRONOMUS,MICROCYLLOEPUS,MICROMENETUS,MICROPSECTRA,MICROTENDIPES,MIDEA,MIDEOPSIS,MOLANNA,MOLANNIDAE,MOMONIA,MONATRACTIDES,MONOCOROPHIUM,MONODIAMESA,MUSCIDAE,MUSCULISTA,MUSCULIUM,MYSIDAE,MYSTACIDES,MYTILIDAE,MYXOSARGUS,NAIDIDAE,NAIS,NANOCLADIUS,NATARSIA,NAUCORIDAE,NECTOPSYCHE,NEMATODA,NEMOTAULIUS,NEOCLOEON,NEOMYSIS,NEOPLEA,NEOPORUS,NEOSTEMPELLINA,NEOZAVRELIA,NEUMANIA,NEURECLIPSIS,NEUROCORDULIA,NIGRONIA,NILOTHAUMA,NIPPOLEUCON,NO_MACROINVERTEBRATES_IN_SAMPLE,NOTERIDAE,NYCTIOPHYLAX,OCHTHEBIUS,ODONATA,ODONTOMESA,OECETIS,OMISUS,OPHIDONAIS,OPHIOGOMPHUS,OPTIOSERVUS,ORCONECTES,ORTHEMIS,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOTRICHIA,OSTRACODA,OULIMNIUS,OXUS,OXYETHIRA,PACHYDIPLAX,PACIFASTACUS,PAGASTIELLA,PALAEMON,PALAEMONETES,PALAEMONIDAE,PARACHAETOCLADIUS,PARACHIRONOMUS,PARACLADIUS,PARACLADOPELMA,PARAKIEFFERIELLA,PARALAUTERBORNIELLA,PARALEPTOPHLEBIA,PARAMETRIOCNEMUS,PARANAIS,PARAPHAENOCLADIUS,PARAPOYNX,PARATANYTARSUS,PARATENDIPES,PAROCHLUS,PEDICIA,PELOCORIS,PELTODYTES,PENTANEURINI,PERICOMA/TELMATOSCOPUS,PERITHEMIS,PERLINELLA,PERLODIDAE,PETROPHILA,PHAENOPSECTRA,PHILARCTUS,PHRYGANEA,PHRYGANEIDAE,PHYLOCENTROPUS,PHYSA,PHYSIDAE,PIONA,PIONACERCUS,PIONIDAE,PIONOPSIS,PISIDIUM,PLACOBDELLA,PLANORBELLA,PLANORBIDAE,PLANORBULA,PLATHEMIS,PLATYISCHNOPIDAE,PLEIDAE,PLEUROCERA,PLEUROCERIDAE,POLYCELIS,POLYCENTROPODIDAE,POLYCENTROPUS,POLYDORA,POLYPEDILUM,POTAMILUS,POTAMOPYRGUS,POTAMOTHRIX,POTTHASTIA,PRISTINA,PROBEZZIA,PROBYTHINELLA,PROCLADIUS,PROCLOEON,PRODIAMESA,PROMENETUS,PROMORESIA,PROSTOMA,PROTANYPUS,PSAMMORYCTIDES,PSECTROCLADIUS,PSECTROTANYPUS,PSEPHENUS,PSEUDOCHIRONOMUS,PSEUDODIAMESA,PSEUDOSMITTIA,PSEUDOSUCCINEA,PSEUDOTRYONIA,PSYCHODA,PSYCHODIDAE,PSYCHOGLYPHA,PSYCHOMYIIDAE,PTILOSTOMIS,PYCNOPSYCHE,PYRGOPHORUS,QUISTADRILUS,QUISTRADRILUS,RADIX,RADOTANYPUS,RAMELLOGAMMARUS,RANATRA,RHANTUS,RHEOCRICOTOPUS,RHEOTANYTARSUS,RHYACODRILUS,RHYACOPHILA,RIPISTES,SAETHERIA,SANFILIPPODYTES,SCIOMYZIDAE,SCIRTIDAE,SERGENTIA,SERICOSTOMATIDAE,SIALIS,SIMULIUM,SINELOBUS,SIPHLONURIDAE,SIPHLONURUS,SISYRA,SISYRIDAE,SLAVINA,SMITTIA,SOMATOCHLORA,SPARBARUS,SPECARIA,SPERCHON,SPHAERIIDAE,SPHAERIUM,SPHAEROMATIDAE,SPHAEROMIAS,SPHAEROSYLLIS,SPIOPHANES,SPIROSPERMA,STAGNICOLA,STEMPELLINA,STEMPELLINELLA,STENACRON,STENELMIS,STENOCHIRONOMUS,STENONEMA,STICTOCHIRONOMUS,STICTOTARSUS,STRATIOMYIDAE,STRATIOMYS,STYLARIA,SUPHISELLUS,SWELTSA,SYLLIS,SYMPETRUM,SYNORTHOCLADIUS,TABANIDAE,TANYPODINAE,TANYPUS,TANYTARSINI,TANYTARSUS,TAPHROMYSIS,TASSERKIDRILUS,TELOGANOPSIS,TESTUDACARUS,THEROMYZON,THIENEMANNIELLA,THIENEMANNIMYIA GENUS GR.,TIPHYS,TIPULA,TIPULIDAE,TORRENTICOLA,TORRENTICOLIDAE,TOXOLASMA,TRAMEA,TRIAENODES,TRIBELOS,TRICHOPTERA,TRICORYTHODES,TROMBIDIFORMES,TROPISTERNUS,TRYONIA,TUBIFEX,TUBIFICIDAE,TURBELLARIA,TVETENIA,UNCINAIS,UNIONICOLA,UNIONICOLIDAE,UNIONIDAE,UNIONOIDA,UROMUNNA,UTTERBACKIA,VALVATA,VEJDOVSKYELLA,VENEROIDA,VIVIPARIDAE,VIVIPARUS,VORTICIFEX,WAYNOKIOPS,WETTINA,XENOCHIRONOMUS,XYLOTOPUS,YORAPERLA,ZALUTSCHIA,ZAVRELIELLA,ZAVRELIMYIA
NLA17_IA-10031,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,1,,,,,,1,,,20,,,,7,,,,,,,,,,,,25,1,,,,,,,,,,,,,,2,7,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2,37,,,,,,,,,11,,,,,,,,2,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,20,,,,,,4,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,44,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,179,,,,,,14,,11,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
NLA17_IA-10034,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,6,1,,,3,,,,,,,6,1,,,,,,,,,,2,,,,,,,1,54,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,5,,1,,,14,,,,,,,1,12,,,,,,,,1,10,,,,,,1,,2,,,,,,,,,,,,2,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,,39,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,6,,,,14,,,,,,,,8,,,,,,,,,,1,,,,,19,,,,,,,,,,,,57,,1,,,,1,,1,3,,,,,,,,,,,20,,,,,2,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
NLA17_IA-10038,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,6,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,1,3,,,,,,127,,1,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,13,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,1,,,,,,,,,,,53,,,,,,,,13,17,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1,
NLA17_IA-10039,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,9,,,,,2,,,,,,,,1,3,,,,,,,,,,1,,,,,,80,2,,,,,,,,,,,,,,4,4,,,,,,,,,,5,118,,,,,,,,,,3,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,24,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,3,,,3,,,,,,34,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,,1,13,1,,,,,,,,,,,31,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,26,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_IA-10041,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,56,,,,,,,16,,,,,,,2,,,,,,,,,,,,,,,,160,26,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,59,,,,,,,,1,,,,,,,,,4,4,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,3,,,1,,,,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,35,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_IA-HP001,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,115,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,21,,,,,,,,,,,,,,,,,2,,,,,,,,20,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,18,5,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,38,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,1,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,3,,,,,,,1,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,5,
NLA17_IA-HP002,,35,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,1,,,,,,,,,6,,,,,,,,,,2,,,,,,13,2,,,1,,,,,,,,,,,1,7,,,1,,,,,,,,4,,,,,,,,,,,2,,,4,,,,4,,,,,,,,2,,,,,,,,,2,,1,3,,,,,,,,,,,4,,,12,,,,8,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,28,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,9,,,,,,,,,,,17,6,,,,,,,,,,,1,2,,,,,,,,,,,7,,,,,,4,,,8,,,,,,,,,,,7,,,,,2,,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,12,,,,,,,,3,,104,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,11,
NLA17_ID-10001,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,21,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,6,4,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,,,,,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,60,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,7,,,,,,,,1,,,,7,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,5,,,,,,19,,,,,,,29,,,,,,8,26,,,,,,,,,,,,,,,,,,,28,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NLA17_ID-10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
NLA17_ID-10003,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,,,,1,1,,,1,,,,,,,,2,,,,,,,,,,4,6,,,,,,,2,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,20,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,1,,26,,,,,,,,,,,,1,11,,,62,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,2,,14,,,,,2,,,31,,,,,,,,59,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,55,,,,,,,1,,,,,,,,,,,,,,,,,1,,,2,,,,,,,7,,,,,,,,,,,,
NLA17_ID-10004,,29,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,15,,,,,,,,,28,,,,,5,,,,,,,,,7,,,,,,,,,,3,,,,5,,56,,,,,,,,,,,,,,,4,,,,1,,,,,,,2,3,,,,,,,,,,,15,,,,,,,8,,,,,,,,,,,,2,,,,,,1,3,6,,,,,,,,,,,34,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,6,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,24,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,16,,,,,,,,,,,,,,5,8,1,,,,,,,,,,,,1,,,,2,,,,,,4,,3,,,,,,,1,,,,,1,10,,,,,,,,8,,,5,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,1,,13,,,,,,,,1,,,18,,,,,,,,4,,,,,1,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,10,,,,,,,,,4,,,,,1,,,,,,,,,,1,,,11,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,
NLA17_ID-10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,31,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,10,,,,,,,,1,2,,,,,,,,19,,,,,,,,,,,,99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,32,,3,,,,,,7,9,,,,,,,,,,,,,,,,,,,,,,23,,,,,1,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,64,,,2,,,,,,28,,,,,,,,,,,,,
